text,hygiene,,,,
What can I say that already hasn't been said? The sandwiches were awesome the fries and slaw were good. Service was fine and things behind the counter seemed clean. The place was packed even at mid after noon but folks go where the food is very good and fast. The dining area was a little cramped and dirty due to the lunch crowd. The food while amazing is bit expensive so this is a once in awhile lunch treat.,yes,,,,
i've been to the tap abpout 3/4 times now.its a nice spot to watch a game and get some cheap drinks and food.but the service sucks. the girls that work there are total airheads and have no expierence working with customers.  they shouldnt even be working there but they are good looking. well the servers are the bartender looks nice for a while. the waitress always takes her sweet ass time to come to you. even if you have a dirty table covered with glasses and plates they will stay there till she feels like it. i was there last night and saw 4 or 5 dirty tables and people walking in and asking the bartender to have someone clean them. and the bartender totally just shrugged them off.  awful.  hire more staff during game nights and playoffs!i go there for the cheap beer$8 molson pitchers wings.25cent and the food. also  a great place to watch a game. 2 times i have had my food order messed up. you have to ask for a menu atleast 3 times for them to get it. everyone there forgets. they also take their time putting on the game when it starts. and when your done with drinks/food the bartender or server takes an hour to clean it up or get you another drink as ive stated. great place during the week for a cheap night out and to watch a game but i dont recommend on the weeeknds and the service sucks. be warned. the ditzy bartender and airhead server will drive you crazy. btw....   The Point behind bell in hand has $7 budlight pitchers during the week also with 25 cent wings.... hello point goodbye tap,no,,,,
This is the worst Bruegger's I've ever been in.It's dirty.The staff is awful.The food comes out burned thanks to the awful staff.I think I'm done for good here.,no,,,,
It's funny--somebody else's review basically says it all: his party was refused service since he was wearing shorts.  As somebody who likes to get away from endless pseudo-Irish pubs blaring NESN and Bon Jovi and from hordes of 25-year-olds in hoodies who can't have a conversation without yelling I can report that I am officially in love with Locke-Ober.It was quiet when I met my wife there at 10:30 on a Friday but despite the fact that business was on the slow side by that hour the white-dinner-jacketed bartender was fast attentive and super-friendly.  I've always been a fan of the Ward 8 but I never knew that they invented it there.  I'm pleased to report that the original is fantastic with lots of oomph and none of the cloying flavors of lesser versions that I've had.  They also have a decent dessert wine selection and I have no doubt that I'll be back down there after enjoying a porterhouse somewhere one of these nights.The thing that really put them over the top for me was that after I retrieved my topcoat from the coat check thank goodness for that--I'm always ticked-off when having put a top/trench coat over the back of a barstool part of it is left puddled on a dirty floor the bartender decided to show us the rooms that had already been closed for the evening since we had told him that this was our first visit.  Pure gilded age oppulence.  It amazes me that for generations this place is has been there with only minor changes and that it's possible to belly-up to the same bar that many of the people responsible for creating Boston as we know it once did.The above-referenced review doubts that Locke-Ober will remain successful for much longer thanks to its policy on shorts.  Nonsense.  Locke-Ober has been in business since long before grown men started wearing shorts off of the golf course and if the basic sense not to do so should ever return decades into the future I'm sure that they'll be in business still.,yes,,,,
"This place has gone downhill. As in 2 or 3 years ago I would have rated it a 4 star but I now feel firmly that it is a 2 star place. I really wish I had read the review from early 2009 that referenced problems with cleanliness standards at the restaurant. If I see even one of those reviews I usually stay the heck away. My issues with cleanliness or lack thereof are as follows: - Scollay Square has a musty kind of smell. Definitely unpleasant. - Based on the taste of the fountain drinks we were served I'd say that the machines haven't been cleaned in quite some time. If you have ever worked in food service you know that tons of bacteria build up in those fountain drink machines. - The carpet leading downstairs is old and dirty and needs to be replaced. - The musty smell downstairs is even stronger than upstairs. - The downstairs bathroom area was dirty bordering on sketchy As for the food I think that ""meh"" sums it up. I was with a friend from out of town and we both ordered the lobster mac and cheese. I found that the sauce was a little velveeta-y for my taste. I didn't say anything to my friend because I didn't want to be a downer. I was just disappointed especially when places like Figs and Ivy have such delicious versions of this dish. I will check back for yelp updates but I think that I'm pretty much staying away considering there are better options in the area.",no,,,,
I went to Al Capone's today to get a sandwich for lunch. I immediately noticed after placing my order that they had a large quantity of salad bread lying on this dirty table. Some covered some not. And due to the large number sitting there I knew this is what they are giving to customers. It was gross to see it just sitting out on a dirty table. Then I happen to notice a roach crawling up the wall as I'm waiting for my food. I could be wrong but I think we all pretty much know what those look like... Once I received my food I approached the manager - daughter of the owner. She shrugged off my concerns and all she cared about was that I was in there talking on my phone . I had to ask this woman was she serious and are customers not allowed to talk on their phones in there?! Then the owner comes over and he seemed to agree with me in being concerned however he quickly got defensive with me once I mentioned the roach I seen. Needless to say the owner snatched my sandwich out of my hand and I was basically told I can leave 'since clearly your not happy' his words. Of course I will NEVER go back there again and him snatching the sandwich not only saved me from consuming food that is likely contaminated.. but they didn't deserve to get a dime of my money. Save yourself the trouble and don't bother with this place. If you want a good sandwich from a CLEAN establishment and GREAT customer service.... Go to Al's on State Street. And in case your wondering yes I filed a complaint with the Inspectional Health Dept.,no,,,,
Dirty and slow At Saturday and I don't speak Spanish !!!,no,,,,
Oh yes the Wendy's in Downtown Crossing.I love Wendy's even more so than McDonald's. So I'm here as often as I can.Location: It couldn't get any better. It's right on Summer Street in Downtown Crossing a couple of doors down from CVS. You can't miss it. It's VERY T-friendly as there are several bus and subway stops very close by.Store: This store is one of these 'inner city's stores where you order and get your food downstairs and then eat upstairs in a dining room. The decor is fine its slightly run down but that's more because foot traffic this store gets. The Store is usually clean but the upstairs dining room may be dirty if its directly after a lunch or dinner rush.Selection: Typical Standard Wendy's Fare. Square Hamburgers Chicken Nuggets Fries etc. Food is always hot and always freshly made. Never an issue there.Price: Not too bad considering it's location. On par with nearby Wendy's pricing Copley & Berklee locations.Staff: I've noticed at this store the staff are actually VERY nice. And not the typical disgruntled fast food worker attitude. And its appreciated. I'm impressed by the staff at this location.Service: Since this is such a high volume store this store *has* to be fast with getting orders out. If it's busy you won't wait long for your food. Actually I've never waited long at this Wendy's for my food.I think my biggest complaint about this Wendy's is the hours. Why does this close at 6 pm?!? Geez at least stay open until 8. And my other complaint is about some of the patrons... it's downtown so fast food places have a tendency to attract the homeless and weirdos. Unfortunately there's little Wendy's can do about it except enforce it's loitering policy!Overall I'll be back. The food is hot and good and that's what matters. So I'm rating this Wendy's four stars.,yes,,,,
"Biddy Early's tops a very short list of ""best dive bars in Boston"" and is in contention for best overall in my vaunted opinion. - Open till 2- Serves cheap decent bar food- Takes credit cards- has scratch tickets and keno- golden tee- naked photo hunt- 5 TVs- a *functional* cigarette machine- $1.50 PBRs- Internet jukebox full of 80s trash/treasure- accessible by every MBTA subway line and commuter service rail boat and on an MBTA bus line- 2 man saw hangs over the bar- bartenders are quick with pints- bathrooms are small and cramped just dirty enough that you know you're in a dive bar but just clean enough that you don't feel too skeeved out by using them. And yes I've seen them both. This place is a big room full of kickass.",yes,,,,
This is the dirtiest place I've ever been. Although the bartenders were extremely nice it doesn't make up for the fact that I'm pretty sure I must have caught some sort of transmittable disease just touching my table in there.,no,,,,
Small often crowded cheap drinks dirty bathrooms. Good deals chill crowd decent bartenders good time. All the makings of a dive bar with the addition of a few arcade games in the back and especially nice atmosphere.,no,,,,
My partner and I sometimes go here for breakfast because it's close to home the food is good and everything is inexpensive. Note: I have only been here for breakfast. The service is very friendly.The food is absolutely great if you're in the mood for something down-to-earth straight-forward and slightly greasy. The pancakes are very delicious--crispy circumference and fluffy with just the right amount of chewiness maybe chewy is not the right word choice... Whatever. It's good. Just order it. I love their random paper placemats. They used to have mats with pictures of all the presidents but now they have mats with photographs of places to visit in Italy and not the top tourist spots you would expect. I love the paper plates. I love the plastic utensils neatly wrapped in paper napkins. Will keep coming back.,yes,,,,
I went here last night with a few friends. The place looked really neat when I walked in. Nice looking bar good seating plenty of beers to choose from. Service was nice enough we were in a large group at one of the tables and the waitress was quick to start me up on a separate tab I know it's a pain in the ass so it's nice when you don't get grief for it. Problem is this place is WAAAY overpriced. Sure it's close to Gov't Center but it's not like the area is THAT devoid of bars. I had two beers both locally brewed and it was $14 without tip. Some friends got a quesadilla and that looked mediocre at best despite being $10. It's too bad because it's one of the few places I've seen Wachusett on tap.,yes,,,,
Best burrito ever! Avoid the lunch crowd the line will go all the way to the door 11:30 is good 12:00 it's swamped. The atmosphere is neat and the staff is always wonderful. I'm getting hungry just thinking about it. They take level up now too!,yes,,,,
I go to mulligans almost every day . The staff is funny and pleasant .the food is fresh and chicken salad to die for the girl with the brown hair is so fast and her sandwiches   are neat it's amazing I have my lunch before I pay that's what I like best good job mullihans,yes,,,,
This place was great.  I went in expecting a run down sports bar from the 50's.  But instead it was the perfect combination of sports and class.  Memorabilia everywhere but neat and tidy not just jumbled on the wall like an applebees or something.  Not to mention awesome memorabilia like the old garden hoop measuring pole mentioned in a previous review and Signed jersey's hats gloves shirts sticks balls spanning the past several decades of boston sports.I will definitely go here again.,yes,,,,
1 Star - Lacking/Turn Off2 Stars - Needs Work But fixable3 Stars - adequate4 Stars - near perfect rough edge here or there5 Stars - Can't get much BetterAmbiance: Beacon Hill Bistro is a neat little place right off the Common in Downtown Boston.  Location is great.  Very nice bar as you enter with great drinks worth a stop before you sit down for dinner.  The dining room could use some work as there is a little bit of a hotel feel not exactly what comes to mind when I think of a quaint French/American Bistro.  It is more modern and a little serious but at the same time not uptight.  If you are looking for a super romantic night out with a significant other it might be disappointing but other than that ok.  3.5 stars.Service:  Quality of service was very good.  4 stars.  Our waitress was familiar with all the items on the menu that we had questions on and provided exceptional advice on ordering dishing that fit what we were looking for.  Additionally and something I appreciated she knew when to come to the table to take our order or ask if we needed anything.  Wasn't overbearing and made us feel right at home.  The only thing she lacked was knowledge on the wines.  For this type/style of restaurant I would expect nothing more of the service nearly 5 stars.Food: 5 stars.  Now this could have been just what we ordered but two spectacular apps and two perfect entrees.  We started with the seared foie gras and the a special on the menu which was an assortment of rare field mushrooms goat cheese pomergranate seeds and shaved black truffles on top my favorite part!.  Both were fantastic and had simple flavors that were very focused you could definitely tell the chef knew how to really bring everything together just perfectly rather than trying just to do something exotic for nothing more than the sake of doing something exotic.  The entrees were fabulous.  We had the Rabbit and the Venison.  Again the chef focused on the heart of the dish and making sure to use ingredients and accents that enhance the meats rather trying to stack stuff to the moon or make some unique presentation with various rarities on the plate just to impress.We followed with a great cheese tray that was very reasonable at just $7 and a phenomenal molten chocolate cake.  The cake was done to perfection with both the outside and the inside done to text book form.Wine:  This category is what kept me from going to 4.5 stars.  I give the wine list an unimpressive 2.5 stars sorry.  It could really use some work.  There was no focus on the list I felt like it was a mish-mash of wines.  Prices were fair not great.  The thing that drove me nuts was they had nothing that was very good or great.  Yes they did have some nice bordeaux but they were from very off years and about 4 X what I think you could buy them for taking advantage of labels.  We ended up going with a Chateaneuf du Pape that was decent not great.  I think they could really improve here without at all changing the price deck.Overall Takeaway:  If you live in Boston or Cambridge I think this restaurant is a must at some point.  If you are visiting and want a really solid dinner in a good location I think you would be very happy.  Either way it would be hard for me to believe that you will walk away from this restaurant unstatisfied with the overall experience.  4 stars Bravo!Cheers,yes,,,,
"I suck when it comes to art. I dont know what anything means or who anyone is but i really enjoy going to MFA here and there. The last exhibit i went to was photography and it was awesome. That and crocheting are about the only forms of art that i ""get.""It is such a great and neat place to see works of art. I remember going here in highschool french class for monet and it was really flipping interesting.Other than that i dont know...but i say you need to go if you havent yet!",yes,,,,
Good place great food! This menu has so many different options meat loaf to pumpkin risotto! Very nice ambiance good service and ample parking. Always a good place to meet people who do not live I Southie. Great for families or just a night at the bar.,yes,,,,
I'm giving this place 5 stars for 5 simple reasons. 1 extremely friendly and attentive staff: my friends and I got here for brunch 10 minutes before 11 on Sunday and the waiter informed us that they can't serve alcohol before 11 on Sundays so we watched as he constantly checked his watch and at 11 on the dot told the bartender to make our bloody's that is what I call service 2 the bloody's are probably the best I have ever had anywhere and at $4 a pop you can't go wrong! 3 the food was tasty and the portions were great for the price I got an omlet and it was massive I couldn't finish it all 4 the ambiance is great yes this is a gay sports bar but for 3 young ladies wanting to enjoy a relaxed brunch it was perfect we purposely sought this place out because of it's chill-ness and 5 the overall picture is that this place is clean and casual has solid food and drinks has GREAT staff and is very reasonably priced especially for Boston. I will most certainly be back here!,yes,,,,
Delicato is a great place for lunch on the go in Downtown Crossing.  There are always several delicious soups to choose from and the sandwiches are simple and yummy.  I haven't tried the entrees but every time I'm in there someone orders one and they look pretty tasty as well.  Plus there's never a long line and the staff is extremely friendly.  And also cleanliness is maintained .The only downside is that they don't take credit cards so come ready with cash. Definitely worth a try if you're tired with your usual lunch options and want something simple fresh and new.,yes,,,,
Delicato is a surprisingly tasty place for being located in an Alley.  They are a little expensive but what isn't in Downtown Boston.  They have a bunch of different sandwiches on the menu try the Broker but can also make almost anything you dream up.  And you get the delicious bonus of pasta salad and pickle.  They have a selection of soups and hot entrees daily as well.   Area behind the counter is neat and clean.The people behind the counter are really super nice and always remember me when I go in.  Only problem is that the line situation is a little confused because it is hard to tell where to stand if you want a sandwich and where to stand if you want an entree.  All in all though four thumbs up!,yes,,,,
Did you ever notice that no matter where you get lunch in Downtown Boston...it costs $7.00?  Is this some sort of sick collusion?  Anywhooo...for about $7.00 you can get a very nice lunch at this little out of the way spot.  They are good for take out if you plan to eat in cube world or tables if you want to sit in a nice deli atmosphere.  Lot's of sandwich selections on the big menu board but a custom sandwich is no problem at all.  With heavy competition for your belly  these guys throw a little pasta salad at you just to keeps things honest and separate themselves a bit.  Shhhh....don't tell them the sandwiches are good enough that they don't have to!  Oh and breakfast here is dang good too.  An honest egg sandwich...,yes,,,,
I really wanted to love the Federalist because it is so cool inside and just screams of old Boston which I love... but it just wasn't so great which was upsetting.The service started off wonderfully and we did have a large party 8 of us but we were quickly forgotten once the patron next to us ordered a $1200 dollar bottle of wine.  I guess I can understand this if I'm a starving waiter frothing at the mouth for a tip on a $1200 dollar bottle of wine but still-  our tab was several  hundred dollars and this doesn't denote that we should get stiffed on service!The lobster bisque was very good my sirloin was tastey but not very memorable- and the supposed signature desert- the baked alaska- was just OK.  For the money spent I'd much sooner go somehwere else though I'd give the federalist another shot for an important date or dinner meeting if in a pinch.  I still really want to like it!,yes,,,,
I came here the other week for lunch when meeting a work contact.   I have lived in beacon hill for many years but have never made it up the hill to check this place out glad we did today.  Small selections for lunch but everything I had was quite good.  I enjoyed their onion soup on a cold rainy day and the fish sandwich I ordered on special was quite good.  If you are a potato chip kinda person definitely check this place out.  I opted for the chips than fries and I was gives a huge handful of fresh fried chips. Great atmosphereTables were neat and clean. I will likely be back!!,yes,,,,
What a disappointment!I haven't been to Scollay Square for quite a while but remembered it as pretty good from when my girlfriend and I had dinner there. So this past Monday I recommended the restaurant to some colleagues while we were in Boston for a business meeting. Unfortunately my coworkers and I went in for dinner and the food was terrible.The appetizers are the only thing keeping this from being a one-star review. They were decent but nothing better than the apps you can order at Applebee's. Nothing memorable.Four people in our party ordered the steak and it was an embarrassment. We all ordered our steaks medium rare but were given grayish tough steaks with no flavor. The waitress then informed us that the kitchen had run out of baked potatoes and one of us wouldn't get one. No big deal I asked for spinach instead. It was steamed but flavorless. The roasted asparagus was overcooked and the red onion jam was an afterthought at best.My colleagues remarked at how terrible their entrees were and I was embarrassed for ever recommending this placeTables were dirty .Management at Scollay Square should apologize for serving food this bad.,no,,,,
Friends and I were staying at the Omni Parker Hotel and the concierge recommended this place for brunch.  This was one of the best brunches I've had in a while.  I started with a bacon bloody mary that was well balanced and had a kick without being too spicy.  I originally was just going to get the fruit plate but our server said that I might want more food.  The fruit was fresh and amazing and the bowlful filled me up.   I ended up taking my bacon egg and cheese sandwich home.  Later that day when I was hungry again I reheated the sandwich and it was SO GOOD.  It was very flavorful and satisfying.  All-in-all it was a great visit!,yes,,,,
I would now consider us regulars as we venture up to Scolly Square at least once every two weeks. The food is phenomenal and the prices are great too. Also can't forget to mention the best brunch menu around with a make-your-own Bloody Mary bar!.Clean place,yes,,,,
Hungry I gets my vote for most romantic restaurant in Boston. Located sub-street-level on Charles St. it is small dim quiet and unassuming. There is no pretention here - and it doesn't feel like it's actually trying to be romantic at all...it just falls into this catagory with relative ease. Housed in a lovely old brownstone there are three dining rooms each with fireplaces and decorated with an array of antiques. I thumbed through a collection of antique books while at our table and thought it was absolutely charming.  Candles provide most of the lighting at each table which serves to make the atmosphere even more romantically charged - add the crackle of the fires and you have yourself a restaurant ripe with seduction. There are a few tables that have banquet style seating with charming benches strewn with embroidered pillows for lounging. After a few glasses of wine I might have been convinced to stage a lie-in and take a nap by the fire. The food is pricey but I thought it was cooked well. I had the breast of duck l'orange and it was juicy and flavorful. My dinner companion had one of the fish options and seemed quite satisfied.It's a perfect place to have an anniversary or Valentine's dinner...it's romantic charming quaint and cozy.,yes,,,,
One of the most romantic restaurants in Boston - very cozy with wood-burning fireplaces and tiny tables but clean.  Have been here a few times and it has never disappointed.  Last time I had the filet and I think it was the best steak I've ever had. Great wine list.,yes,,,,
We went to the Hungry I to celebrate our engagement and I'm happy to say that it is clearly one of the best choices I made in restaurants in a while.  It's perfectly intimate for a date.  It's in a well decorated basement with brownstone bricks small tables and a very intimate atmosphere.  Noise levels were quiet but we went at 8:30 or 9 p.m. on a Wednesday night.The service was EXCELLENT.  I had called them a few days ago to let them know that we'd be coming there to celebrate our engagement and they made sure that we had the table by the window/wall and that we had great service all through the night.  Our server was attentive knowledgeable and very warm.  The owner came over later on to check in on and us and also seemed like a great guy.  There was a couple behind us that were a little drunk but very friendly and fun and told us they had been coming there to celebrate their anniversary for 5 years.I don't exactly remember what we ate there but everything we had was incredible.  Right textures right tastes right scents.  It all worked very well together and the wine they recommended was pretty good too.Overall I think it's one of the best romantic date places in Boston.  Great food great area great service!,yes,,,,
I gave this place four stars because it accomplished what I wanted out of it.  A nice anniversary dinner that was classy.  We didn't get a window seat which I was extremely disappointed by but the view was still good from our table.  We did go look out the window by the jazz band setup after our meal and we were able to take in some of the view from there.  Some of the food is mediocre some is good.  The caesar salad was really good don't know if you can justify paying 9$ for a small salad though.  I had the lamb which was pretty good my girlfriends dish wasn't good though.  Cookies are overrated not good cheesecake dessert is 2 times as good and half the price go downstairs for dessert.  Back to the classy the service was outstanding.  Even though we are on the younger side and look even younger than our age we were treated with great respect and i felt like a millionaire dining here.  My waiter was dressed almost as nice as me hard to accomplish.  He seemed like a classy butler out of some movie or tv show.  The service was slow on purpose as it was meant to be a nice long romantic dinner.  Make sure you have a conversation when you dine here cause you will be sitting for a very long time especially between each course you order!  The view can be half of your conversation though it is that good.  So if you want to wow your significant other with a great classy atmosphere which is romantic or you're looking for that right special occasion place I say come here.  For a regular night out I don't see why you would come here with the prices so high and food not so good.,yes,,,,
"I would not recommend this restaurant.  I decided to follow the rave reviews and went with my wife. The service is mediocre to say the least but I already expected this from some of the reviews.  The food was not bad I have been to the Peruvian in sommerville machu pichu and this place is not better.  The real sour point with me is the hygiene of the place.  Not only did the food take forever to arrive but when it did it I found hairs in the lomo saltado.  When I complained to the waitress she reacted like it was no big deal!!  The taste might be good but God knows what ""extra seasonings"" they put on the dishes.  My take is that this place has poor hygiene.",no,,,,
Yes. This food is good and prepared fast. If you're looking for the fast food version of Chinese then by all means come here. I am a born and raised American-Chinese person who enjoys a good authentic Chinese meal. If you're like me you'll hate it here. I usually go to this chain when I'm at the airport. To me this place is authentic airport food.  The food they offer is geared towards Americans not Chinese families. Overall I think the hygiene of the restaraunt is a little poor. If you're looking for a quick fix, then this is the place if you're looking for authenticity, go somewhere else,no,,
"I tried to use a coupon for my sub which they skimped on all my ingredients anyway...  but they said that particular Subway chooses not to take coupons.  With much childish arguing on their part I won. However my boyfriend was not so lucky.  One day he saw the man cleaning the floor with bleach then he went to make my BF's sub without washing his hands.  My BF complained so the manager said he would make his sandwich as the other man continues to serve bleach-subs.  My BF says no please both of you wash your hands.  But the manager said ""Well you don't know when we wash our hands so maybe we washed them.""  My BF yelled at them left heard them talking behind his back so he went back and in continued the fight for proper hygiene. All of the workers here are miserable bitter childish and their energy poisons the already processed food... not to mention the special ingredient - clorox bleach!! Now we know.",no,,,,
JMP is probably the best Indian food I have tasted in Boston. This statement has been backed by 4 out of 5 of my Indian friends who say it's pretty close to mom's home cooking. It is also one of the few places in Boston that serves Halal food so it's Muslim friendly!I think the key here is to know what to order. The chicken tiki masala is quite dry. In fact none of the masala is all that good but the curry is awesome. I would try to be more adventurous and try either the lamb or goat curry both of which are great. BUT hands down the best dish to get here is the tandoori chicken. It takes about 30 mins to make and they cook it on a kabob stick in this big metal oven. Make sure to eat it with the lemon! The plain naan that comes with any lunch or dinner special is also really great again made fresh in the same metal oven as the tandoori chicken.The downside to this place is the service. I arrived there on a Saturday at around 11:30AM and no one was around even though the rest of the food court was already filled with customers at other stores. They don't post their hours anywhere so I guess you can't really fault them for not being open on time. And my biggest complaint about this place is the hygiene. I'm not sure if this place would pass a food inspection.So 5 stars for the tandoori chicken and naan but minus 1 for cleanliness.,no,,,,
Dirty clean the place. Not exactly appetizing hygiene. I only had a beer then I just had to leave before I got their cooties.,no,,,,
"My review is very out of date. Every time I remember the gastroenteritis I had two summers ago - I think ""man I have GOT to yelp about that..."" so here goes. In all fairness - this review is probably not valid simply because it's been so long since the ""incident"" but I still feel moved to yelp - I'm sure though I do not know that they have cleaned up their kitchen and / or their employee's have started washing their hands... and / or they have learned how to cook burgers... at least I hope so. I went to Sunday ""Pajama"" brunch with some friends two summers ago. We were all quite hungover and it was a good but quiet brunch. I ordered a delicious avocado and tomato cheeseburger with eggs and my god it was good. Until I got into the middle and found raw cold hamburger meat. I lost my appetite and stopped eating. I didn't say anything and didn't think anything of it until about 12 hours later... when I was woken up from sleep with the most intensely painful abdominal cramps I've ever experienced in my life. I was rolling around in pain and discomfort... and eventually ended up alternating vomiting into the toilet and using it for the ""other"" purpose... I vomited for about 24 hours with fever in 102 degree heat that Monday which was nice because hey - I felt cold - food smells and more than one gulp of water would send me to the toilet. The rest of the uncomfortable symptoms lasted for 4 days. That's right - 4 days. I called my doctor - I was so dehydrated I could barely stand.I can't walk past this place without feeling sick to my stomach. I told people about my experiences and apparently it had quite the reputation a few years ago that even a good location and fancy clientele couldn't dispel. I feel better for yelping it out.",no,,,,
This may have been the best meal I've ever had in the city! To start we got the BBQ wings. Best wings by far.  Generous portion served in a sweet/spicy sauce that I can't even describe! Get the fried chicken and you won't be disappointed! Service was awesome.  Our server answered any questions we had with a smile on his face and was great at recommending us what to get to eat and drink.  The open kitchen definitely held my attention for a good portion of the meal. It amazes me to watch all those people work in synchronization and so quickly and the end result is an amazing plate of food.I will definitely be back!,yes,,,,
This place is great. The menu offers a lot of variety and it's all good. I particularly like that the food is so tasty but yet not fat. Service is great too. Definitely one of the best places for lunch downtown. The only downside is the location the place is kinda stinky but since it's take out only you won't have to stay there for long.,no,,,,
I think I ate here every day for a solid six months last year and then took a new job and didn't get to venture out for lunch as often but Cafe Delicato's chili keeps me coming back for more whenever I get the chance.  The owner and the staff are super friendly!!.Tables and kitchen were clean,yes,,,,
