31,"Aangan, Dhankawdi","amazing place. Amazing food. Amazing service.
But the sitting arrangement is very bad. Our table was just next to the loud speakers and it was horrifying!!!!
We couldn’t talk, couldn’t listen, neither place an order with waiter. We were about to faint because of the loud music and we waited for clock to Strike 12 so the music stops.",2,
32,"Aangan, Dhankawdi"," Amazing  place in Katraj . Live music is like cherry on the top.. I personally love this place for its food and ambience. 
Although in weekends it is bit crowdy. You might end up waiting for 40 mins but that's worth waiting",3,
33,"Blue nile, Camp","not a bad place for this price.
quality of food needs improvement (atleast the veg dishes).
overall its a good place for students who don't drink :p
worth going atleast once",4,
34,"Aangan, Dhankawdi"," The most pocket friendly place in katraj area.
They have certainly enough varieties considering the price
The main catch is starters obviously, all tasty enough for your taste-buds 
Also desserts are really good.
 Service was prompt and better than others certainly ",6,
35,"Blue nile, Camp","Have tried alfredo pasta. Really sorry to say but not found it even a bit tasty. Though quality was fine, but taste n quantity was lacking.. Need to improve in terms of service and taste. ",1,
36,"Aangan, Dhankawdi",Noise is the often complaint about this hotel and there is crowd on weekdays as well. Food was also not satisfactory. ,2,
37,"Blue nile, Camp"," I ordered the chicken schezwan noodles. What I got had huge quantity of noodles with very little of chicken, sauce and everything else besides noodles. Imagine salted noodles with a few pieces of chicken here and a very far there, that's exactly what was served to me. ",3,
38,"Blue nile, Camp","the taste of the food was fine. I'm still not really happy with the quality of ingredients they use. I felt that they can improve on this. But something they really need to work on is Service. The staff I felt is not al all friendly. Whenever I visit the place, I always feel that they don't really value customers. ",5,
39,"Aangan, Dhankawdi",It was a horrible experience. We been waiting for nearly an hour for the table and even after we got the table service wasn't proper. Overall it was a waste of time. Food was okey but the place was not so clean and surrounding was noisy. ,6,
40,"Blue nile, Camp",the  food tastes delicious. but there is not sanity and the place is not hygienic. the bathrooms are nasty and smelly,2,
41,"Blue nile, Camp",the food is great and fresh. the ambiance is also clean and fresh.. overall the restaurant is good,3,
42,"Blue nile, Camp",worst restaurant ever. there were flies around the food and no cleanliness at all. the food tasted good but the place is situated in a very unhygienic location ,2,
43,"Aangan, Dhankawdi",We were searching a good place to eat in the katraj area and we decided to eat here. Unfortunately the food and the service was not upto the expectations. Cost was also high compared to other places we visited before. ,3,
44,"Blue nile, Camp",Ambience is good.. Food quality average!,2,
45,"Blue nile, Camp",Veg food wasn't good but awesome place for non-veg lovers Good ambience ,3,
46,"Panchami,Swargate","1.Tasty food
2.Quantity 
3.good ambience
4.fast service
5.clean and hygienic place
",3,
47,"Saffron, Shastri Road",Ambience is good,5,
48,"Saffron, Shastri Road",Clean and hygienic ,1,
49,"Saffron, Shastri Road",Unclean glass. Table was also not clean,4,
50,"Saffron, Shastri Road",Very unhygienic. Found a cockroach in the sambar,2,
51,"Garnish, Katraj",The food was tasty. The service was also satisfactory. Overall I was impressed.,2,
52,"Garnish, Katraj",The food was too spicy..the snacks was better than the main course.,3,
53,"Garnish, Katraj",The ambience is really good. Hygiene wise i would give them 5/5 . Food tastes good.,2,
54,"Saffron, Shastri Road",Amazing place.Kudos to their cleanliness and organized service!,5,
55,"Saffron, Shastri Road",Clean and hygienic place. ,3,
56,"Kolhapuri, Katraj",Good place to have akkha mahasur. Value to money restaurant. Place where one can enjoy food with there loved once. Not great ambiance but decent hygiene around. ,2,
57,"R K Biryani House, Dhankawdi"," Best hotel to have biryani at bharti Vidyapeeth the taste and quality of biriyani is up to the mark and also affordable moreover their tandoor item and fish are also good ,fresh,cleanand worth trying overall one of the best and affordable places in Dhankwadi to have your dinner .",3,
58,"R K Biryani House, Dhankawdi","To my rescue the biryani was good but too costly for the quantity served, also the rice wasn't complimenting well as it should have been served in dum style or the masala should have been more prominent. We also tried Chicken Tandoori which was freah, hot crispy and just right to fill your tummy with .",2,
59,"R K Biryani House, Dhankawdi","This place has three sections for dining. First floor is exclusively for family. Ground floor section has asbestos roofing and thereby lacks in ambiance. First and second floor though has closed dining spaces and ambiance is fine. Had a veg. Biryani, which was great in taste. Service was prompt. Not so clean",3,
60,"R K Biryani House, Dhankawdi"," Both veg and non-veg biryani is superb. Biryani served in maharashtrain style. Great taste, good hangout place and good service. The best deal is Half biryani with dew. ",2,
61,"R K Biryani House, Dhankawdi",Worst biryani eaten so far. Chicken is not fresh at all. Tasteless food 🤢. You're left with nothing except for a stomach ache and loose motions,3,
62,"R K Biryani House, Dhankawdi",Best biryani house in dhankwadi.phandara rassa n tambada are best here..very good in price n ambience too.we dont have to wait too long.a must visit. ,2,
63,"R K Biryani House, Dhankawdi",Food is good and service is also efficient. Recently they have added few more dishes to their menu which are quite good.I love this place . ,3,
64,"R K Biryani House, Dhankawdi",It's just over hyped.please don't eat there.bunch of rude people on service who are just eating on the fact that they are popular.even when u try for home delivery they ask for Ur order and if it's not big they will refuse to deliver ,2,
65,"R K Biryani House, Dhankawdi",The Biryani is meh and kebabs are so so. The ambiance needs a lot of work. Not so clean.They just put unnecessary amounts of masala in each of their items. ,3,
66,"R K Biryani House, Dhankawdi","ambiance is ok ok,staff is not professional.
we ordered special non-veg thali,which taste ok ok not a proper thali taste.
chicken sukka came with more of masala than chicken.
not that much of decent place to visit with family.",2,
67,"R K Biryani House, Dhankawdi",Me and my friend ordered chicken dum biryani and chicken tandoori...but chicken tandoori was half cooked and dum biryani was served cold...disappointed ,1,
68,"R K Biryani House, Dhankawdi",Best Chicken Biryani I ever had. Good service quality with excellent cleanliness . Rate are also very reasonable . They really know the test  customer wants. ,2,
69,"R K Biryani House, Dhankawdi"," Worst...brought 2 mutton biryani's parcel... all i got is 3 small pieces of mutton and rest all was uncooked rice..and just plenty of spicy masala.!
Avoid this hotel and save your bucks..",2,
70,"Soul spice, Ambegaon","of the best American Choupsey, Pasta & coffee in this area. Good place to sit and discuss with your mates",2,
71,"R K Biryani House, Dhankawdi",I loved the food at Rk's biryani .... The service is great... Food was awesome and the the ambience of the place is that for the people who like comfortable place to spend time only enjoying wonderful food.. I loved the mutton biryani etc at rks,3,
72,"Soul spice, Ambegaon","If you are loving Chinese food you can go there and variety of items available here, like Chinese burger Chinese noodle, veg manchurian gobi manchuri so many things...",1,
73,"R K Biryani House, Dhankawdi", Nice ... very nice... kadak test..... biryani test quantity is also cool.....This was n wonderful experience...Dey support for party also..... nice service.... ,3,
74,"Soul spice, Ambegaon","Food is really nice.
Hosekeeping not great and houseflies bothering here.
These guys need a insectkiller machine ASAP.
I had to shoo away the flies for quite a while",2,
75,"Soul spice, Ambegaon",One of the pathetic place I have ever visited ...I don't know how people eat and tolerate these guys ... Beware guys ....these guys dont have feelings about vegetarian persons...they served the non veg food also as a veg. food ...even in their menu card Oyester is marked as Veg. with green dot.  Really shame on these guys....not recommended for anyone ..not even for pets...don't know they can serve the bad for them also,3,
76,"R K Biryani House, Dhankawdi"," Worst biryani ever. I went there for the 1st time. We ordered mutton biryani but rice was not cooked property. When I brought into notice to waiter, he said sorry. Then ( so called ) Captain came with an argument that it was cooked perfectly :O.
Pathetic service & tasteless biryani.I'm quite sure that this was 1s& last time over there.",3,
77,"Soul spice, Ambegaon","The quality of food they serve is pathetic. Although their service is pretty fast. Since my first visit left me disappointed as I packed my food and within couple of hours, the food started smelling foul. So I left the place with bad reviews.",4,
78,"Soul spice, Ambegaon",Healthy Chinese food. Freshly prepared. Can get crowded on weekends. Good place for college students. Service can be improved. Little expensive compared to road side Chinese stalls,1,
79,"Soul spice, Ambegaon","I ordered a Wok. The food is extremely monotonous. There is no flavour of the sauce I ordered. The chicken pieces had no spices, just plain tasteless chicken. The rice was half cooked. Terrible. Thats 300 bucks I wasted",2,
80,"Soul spice, Ambegaon",Very bad service . disguisting.ppl pls avoid ordering from here . if ordered pls do not take home delivery. This ppl do not know how to cater to customer,3,
81,"Soul spice, Ambegaon","Definitely better than the restaurant next to it which charges 300 bucks for a round bread topped with some veggies and cheese. A decent meal consisting of a starter, rice /noodle and gravy will charge you less than around 300 for two. Fits your pocket kills your hunger",2,
82,"Soul spice, Ambegaon","Food is good but very slow dirty service"" .,3
83,""Soul spice, Ambegaon","Mostly IndoChinese. Excellent taste, brilliant menu, loved the takeaway boxes...real and fresh veggies, no added colour",2
84,"Soul spice, Ambegaon",Extremely rude staff who are also mentally absent and will jumble up the order,2,
85,"oakwoods, Camp","One of my favourite places in Pune. Had been here number of times but never got a chance to write a review. And I think this is the day 

Was here for a quick drink last night. I have been ordering Chicken Nanza till date and was completely happy with that. Until last night when I ordered “Sweet Chill Broccoli” and m in love with this dish. We had also ordered prawns but I dint even feel like touching those when I had broccoli. That was really amazing. 

I will soon be visiting 1000 Oaks for broccoli",2,
86,"oakwoods, Camp","Too quiet outside and too loud inside. Great ambience outdoors for date night or a family outing. Great ambience inside if you wanna get hmered and lose your hearing. Good energy, just way too extreme for my taste. Had the baby corn fries. They were good.",5,
87,"oakwoods, Camp","still the old charm. a place for almost all moods and tastes very clean. almost sure to have a good time. food, ambience, drinks...scores well on all counts. many places have come up recently but still this holds on to its own",3,
88,"oakwoods, Camp",Amazing place... Has existed since ages. People have grown up here. A perfect mix of heritage lounge and amazing food and drinks.,4,
89,"oakwoods, Camp",One of the oldest bars in pune located in the heart of pune. Service was very quick. Great music. The food here is amazing. The bar tends to get louder post 10:30 pm. Some nights they have live bands too. Prices are reasonable. The place was clean. The Indian food was amazing. Go to this place to chill with your friends and family.,2,
90,"oakwoods, Camp",They serve yummy food and the vibes are great. I have been celebrating my last 3 Christmas nights here and they never disappoint. A very good family and friends hangout where you would easily spot families and friends on adjacent tables. Keep it up,1,
91,"oakwoods, Camp",Nice food. But bit congested place. If you go with large group u won't get place inside. Overall the outside garden experience was also good.!,3,
92,"oakwoods, Camp",Really nice place to hangout with friends for weekend. Nice food n ambience.. Definitely recommend it.,2,
93,"oakwoods, Camp","Lovely atmosphere, good crowd, food is quite alright. Slightly noisy outside because of the traffic. Music is a bit louder deep inside.The place is clean too",3,
94,"oakwoods, Camp","Great ambience, old world charm. Decent food but expensive. More marks for the ambience than the food and prices. Very good service",2,
95,"oakwoods, Camp","Lovely place. A must visit if you want to hangout with your friends. Chilled place, nice music with football and NBA live. What else tou can ecpact. Great service and not to so expensive meus. The food is delicious and the atmosphere is rocking. Thos will set the tome perfectly. It's a place for you buddies and for your girl. The only problem they have is with parking. Which they don't have at all and depend on the nearby space.",1,
96,"R K Biryani House, Dhankawdi","Biryani rice is heavily steamed cooked so it has lost the taste of it.......tambda rassa pandhra rassa are worse to taste as I have ever tasted it.
Ambience: The surrounding is worse not clean and hodgepodge everywhere.",5,
97,"oakwoods, Camp","One of the best that I have visited. Live band, drinks, what can u expect more😉. Wait food, especially main course, could be better.",3,
98,"oakwoods, Camp","fab place to have drink or chill out with friends

It's a fabulous place to hang out with friends. When I went it was retro night and people were dancing away their blues :) Being close to the camp area its frequented by a lot of army people and army kids. The coasters have funny messages on them...The food was great with a nice taste. The cocktail I ordered was particularly awesome. I still remember, their flavored beer in kingfisher glass, it was just wow. they are known for their Classic Oaks Barman's cocktail. Kerala food festival was on so tried Kerala version of roasted chicken with curry leaves. Both F&B were brilliant. The ambiance is also good. Both outdoor and indoor seating available. Overall not too high in the pocket also considering the tasty food on offer. Definitely worth a visit. Great place",2,
99,"oakwoods, Camp",Food taste was not good. We have ordered some kashmiri food as the guy insisted us for that not clean tables,1,
101,"R K Biryani House, Dhankawdi","I tried veg biryani which lacked flavor. The rice was long and somewhat thick which was certainly hard to swallow.
My friend tried mutton biryani which also lacked in taste and flavor. More of bones than mutton. Same thick and hard to swallow rice. Tambda and pandhra rassa below expectations without any taste.Ambience strictly ok.",2,
102,"oakwoods, Camp",Food is exorbitant(ly) costly for it's   quality and quantity.,3,
103,"oakwoods, Camp",Once famous for Paneer Nanza. Now they have compromised with its quality was well as quantity Disappointed!,2,
104,"oakwoods, Camp",The food quantity is too less. Prawns curry was very hot and spicy. Outdoor seating is noisy. The staff needs to be polite and quick. They had the most dirtiest baby high chair I had seen in any of the hotels till date. Still chicken Peri Peri is a must try,1,
105,"oakwoods, Camp",We went with family on Christmas night...ambience was good but the service was patetic...very very slow...they made us to wait around 15 min just for 1butter roti...you will be disappointed for quntity served...we ordered chicken sheek kebabsas starter's but the quantity in very small not enough for even single person,2,
106,"oakwoods, Camp","One of the most over hyped places in town. When we went there were hardly any table full only a couple of them. But they dint allow us to sit at the place of our choice, they put reserved on table only to remove  when a big group comes. they refused many people if they were in small group. even when we left the place still many people were waiting outside even when tables are empty. If it was us we would have gone to some other nearby place. the food is not that great here anyways.Even a woman was fighting with them about the table. We would not go there again.",3,
107,"oakwoods, Camp",Iam not Happy for service and food was not much expected,2,
108,"R K Biryani House, Dhankawdi"," I am a regular at RK Biryani House, so it was about time I reviewed the eatery! Have always been a big fan of their tandoori chicken- flavoursome, succulent with the correct amount spices makes it a must try.
The chicken biryani is a tad bit spicy for my palate but I can't stop eating it, it's served with pandra rassa and tambra rassa, even the biryani rice they serve is immensely aromatic and tastes good. ",1,
109,"Kolhapuri, Katraj"," I hate to say this, but very bad quality misal. I literally pick out pieces of the dishwasher.It's very unhygienic and service is also not good ",4,
110,"Kolhapuri, Katraj","  Kolhapuri style food , Ambience is good Located in satara road , misal is very tasty But menu. Is limited , i like tandori roti .Service is very quick.Overall experience is very good ",2,
111,"Kolhapuri, Katraj","Ambiance is plain jain simple. Many tables with many chairs, no frills nothing but clean. You can easily visit with your family too if great ambiance is not the expectation. Service is also same, most of the things are ready and they serve you quick. No issues there.",3,
112,"Kolhapuri, Katraj","You get very good kolhapuri style Misal here. The ambiance is very basic, but pretty clean. From outside it looks a bit shabby, but from inside its quite ok and clean.",2,
113,"Kolhapuri, Katraj",Have been there a lot of times. The service good. The food is amazing. It is a very good pocket friendly place. Ambience wise its okay. But overall ialta good. ,3,
114,"Kolhapuri, Katraj"," Garnished with fried onion which goes very well with masoor. The place is covered with canopy, it gets too hot in the afternoons. The place is not very hygienic. ",2,
115,"Aangan, Dhankawdi",Nice place to go out for a dinner with family and friends. Close to my college and clean as well. Good service and good quality of food. I loved it.,3,
116,"Aangan, Dhankawdi",I have gone there once. Such a tidy place it is. ,1,
117,"Aangan, Dhankawdi","I went to this hotel , i was so disappointed because the food literally stinks. ",2,
118,"Aangan, Dhankawdi","Food is quite nice but the place isn't that clean. So many flies around the food. I'll give 5 out of 10.
",1,
119,"Blue nile, Camp","it was a nice place, it had clean kitchen. they served fresh food. will surely visit again",2,
120,"Soul spice, Ambegaon",Great Ambiance yum food enjoyed in group. Clean floors nice bar,3,
121,"Soul spice, Ambegaon",Nice food quality specially non veg.you can have cocktail here good service and cleanliness,4,
